Longitud,Latitud,Rendimiento (kg/ha),Zona
-51.191174422947874,-27.424886636722093,3258.79,Área 02
-51.19117434520598,-27.424841496734842,2895.36,Área 02
-51.19117426746427,-27.424796356747304,2968.99,Área 02
-51.19117418972274,-27.42475121675947,2739.08,Área 02
-51.1911741119814,-27.424706076771344,2716.86,Área 02
-51.191174034240234,-27.424660936782924,3219.3,Área 02
-51.19117395649924,-27.424615796794217,3355.48,Área 02
-51.19117387875844,-27.424570656805205,2998.67,Área 02
-51.19117380101782,-27.424525516815915,3267.8,Área 02
-51.19117372327737,-27.424480376826327,3107.58,Área 02
-51.191054024792635,-27.42547362297229,2856.15,Área 02
-51.191053947097764,-27.425428482988526,3108.03,Área 02
-51.19105386940306,-27.425383343004473,3402.44,Área 02
-51.19105379170855,-27.425338203020118,3009.23,Área 02
-51.19105371401422,-27.42529306303548,3409.6,Área 02
-51.19105363632006,-27.425247923050552,2363.75,Área 02
-51.191053558626095,-27.42520278306532,3224.42,Área 02
-51.19105348093231,-27.425157643079803,3040.96,Área 02
-51.1910534032387,-27.42511250309399,2944.69,Área 02
-51.191053325545276,-27.425067363107885,3042.64,Área 02
-51.191053247852025,-27.42502222312149,2523.06,Área 02
-51.191053170158966,-27.424977083134802,2965.29,Área 02
-51.19105309246608,-27.424931943147826,3109.73,Área 02
-51.19105301477338,-27.424886803160543,3390.18,Área 02
-51.191052937080855,-27.424841663172977,2891.39,Área 02
-51.19105285938852,-27.424796523185115,2819.09,Área 02
-51.19105278169636,-27.42475138319697,2896.03,Área 02
-51.191052704004385,-27.424706243208522,3250.57,Área 02
-51.19105262631258,-27.424661103219787,3104.16,Área 02
-51.191052548620966,-27.42461596323075,2889.78,Área 02
-51.19105247092953,-27.424570823241424,3150.79,Área 02
-51.19105239323828,-27.424525683251815,3047.0,Área 02
-51.19105231554721,-27.42448054326191,3265.14,Área 02
-51.190932848912865,-27.42560920925965,2847.72,Área 02
-51.190932771266816,-27.425564069276444,2941.57,Área 02
-51.19093269362096,-27.425518929292945,2925.71,Área 02
-51.19093261597527,-27.425473789309162,2658.11,Área 02
-51.19093253832977,-27.425428649325074,3098.27,Área 02
-51.190932460684444,-27.4253835093407,3089.76,Área 02
-51.1909323830393,-27.425338369356037,3026.03,Área 02
-51.19093230539434,-27.42529322937107,2966.35,Área 02
-51.190932227749556,-27.42524808938582,2671.41,Área 02
-51.19093215010496,-27.425202949400276,2920.34,Área 02
-51.19093207246054,-27.42515780941444,2940.08,Área 02
-51.1909319948163,-27.42511266942831,2825.44,Área 02
-51.19093191717225,-27.425067529441886,2985.94,Área 02
-51.190931839528375,-27.42502238945517,3127.53,Área 02
-51.190931761884684,-27.42497724946816,3498.31,Área 02
-51.19093168424117,-27.42493210948086,3070.66,Área 02
-51.190931606597836,-27.42488696949327,3091.66,Área 02
-51.190931528954685,-27.42484182950538,3008.91,Área 02
-51.19093145131171,-27.4247966895172,2548.08,Área 02
-51.190931373668924,-27.424751549528732,3021.4,Área 02
-51.19093129602632,-27.42470640953997,3043.34,Área 02
-51.190931218383895,-27.424661269550914,3644.34,Área 02
-51.19093114074165,-27.424616129561564,2980.69,Área 02
-51.19093106309958,-27.42457098957192,3104.42,Área 02
-51.1909309854577,-27.424525849581986,3020.61,Área 02
-51.190930907815996,-27.42448070959176,2737.37,Área 02
-51.19081159514024,-27.42569965545791,3315.5,Área 02
-51.1908115175432,-27.425654515474978,3218.03,Área 02
-51.190811439946344,-27.425609375491746,3228.06,Área 02
-51.19081136234967,-27.42556423550822,2803.2,Área 02
-51.190811284753174,-27.425519095524404,3381.5,Área 02
-51.190811207156855,-27.425473955540294,2680.59,Área 02
-51.19081112956073,-27.425428815555893,3178.02,Área 02
-51.19081105196478,-27.425383675571204,3579.17,Área 02
-51.19081097436901,-27.425338535586217,2784.18,Área 02
-51.190810896773414,-27.425293395600935,2890.49,Área 02
-51.19081081917801,-27.425248255615365,3057.23,Área 02
-51.19081074158278,-27.425203115629504,2906.7,Área 02
-51.19081066398773,-27.425157975643348,2645.16,Área 02
-51.19081058639287,-27.42511283565689,3050.21,Área 02
-51.19081050879819,-27.42506769567015,2767.75,Área 02
-51.19081043120368,-27.42502255568312,3151.98,Área 02
-51.19081035360936,-27.424977415695793,2803.97,Área 02
-51.19081027601521,-27.424932275708173,3421.57,Área 02
-51.190810198421254,-27.424887135720258,2838.52,Área 02
-51.19081012082747,-27.424841995732045,2954.07,Área 02
-51.190810043233874,-27.424796855743555,3238.22,Área 02
-51.190809965640454,-27.424751715754763,2727.37,Área 02
-51.19080988804722,-27.424706575765683,3092.21,Área 02
-51.19080981045416,-27.424661435776308,3362.38,Área 02
-51.19080973286129,-27.424616295786638,2633.98,Área 02
-51.19080965526859,-27.424571155796677,3082.26,Área 02
-51.19080957767608,-27.424526015806425,3101.32,Área 02
-51.190809500083745,-27.424480875815885,3232.06,Área 02
-51.19080942249159,-27.424435735825046,2727.62,Área 02
-51.190690418718006,-27.425835241532926,2706.99,Área 02
-51.1906903411698,-27.42579010155054,3167.85,Área 02
-51.190690263621775,-27.425744961567876,3111.86,Área 02
-51.19069018607393,-27.425699821584907,3100.49,Área 02
-51.19069010852626,-27.425654681601653,3124.73,Área 02
-51.19069003097878,-27.425609541618105,2868.36,Área 02
-51.19068995343147,-27.425564401634254,3096.68,Área 02
-51.19068987588435,-27.425519261650123,3112.14,Área 02
-51.19068979833741,-27.425474121665697,2860.54,Área 02
-51.19068972079065,-27.42542898168098,3505.82,Área 02
-51.19068964324407,-27.425383841695965,3158.09,Área 02
-51.190689565697674,-27.42533870171066,2742.05,Área 02
-51.190689488151456,-27.425293561725063,3204.27,Área 02
-51.190689410605415,-27.425248421739173,2796.71,Área 02
-51.19068933305956,-27.425203281752992,3237.41,Área 02
-51.19068925551389,-27.42515814176652,3330.54,Área 02
-51.190689177968395,-27.425113001779746,2835.97,Área 02
-51.19068910042307,-27.425067861792684,3282.24,Área 02
-51.19068902287795,-27.425022721805334,3144.84,Área 02
-51.190688945332994,-27.42497758181769,3247.41,Área 02
-51.19068886778822,-27.424932441829753,3516.35,Área 02
-51.190688790243634,-27.424887301841522,2981.05,Área 02
-51.19068871269922,-27.424842161852993,2854.22,Área 02
-51.19068863515499,-27.424797021864176,2820.53,Área 02
-51.19068855761094,-27.42475188187507,2839.2,Área 02
-51.190688480067074,-27.42470674188567,3024.13,Área 02
-51.190688402523385,-27.424661601895973,3128.95,Área 02
-51.19068832497988,-27.424616461905988,3113.08,Área 02
-51.190688247436555,-27.424571321915707,3250.96,Área 02
-51.19068816989341,-27.424526181925135,3047.67,Área 02
-51.19068809235045,-27.42448104193428,3408.05,Área 02
-51.19068801480766,-27.424435901943117,2978.76,Área 02
-51.190569242000116,-27.42597082750147,3725.21,Área 02
-51.19056916450074,-27.42592568751966,3201.84,Área 02
-51.19056908700154,-27.425880547537545,2831.39,Área 02
-51.19056900950253,-27.425835407555137,2778.2,Área 02
-51.1905689320037,-27.42579026757244,3166.8,Área 02
-51.190568854505045,-27.42574512758945,2990.57,Área 02
-51.190568777006575,-27.425699987606162,3225.18,Área 02
-51.19056869950828,-27.425654847622596,3165.24,Área 02
-51.19056862201017,-27.425609707638728,3028.98,Área 02
-51.19056854451224,-27.42556456765456,2835.74,Área 02
-51.19056846701449,-27.425519427670118,2668.98,Área 02
-51.19056838951692,-27.425474287685365,2936.31,Área 02
-51.19056831201953,-27.425429147700328,3262.29,Área 02
-51.190568234522324,-27.425384007715,3101.97,Área 02
-51.19056815702529,-27.425338867729376,2737.26,Área 02
-51.19056807952845,-27.42529372774346,3092.24,Área 02
-51.19056800203178,-27.425248587757245,3145.53,Área 02
-51.1905679245353,-27.42520344777075,2828.49,Área 02
-51.19056784703899,-27.42515830778396,3088.14,Área 02
-51.19056776954287,-27.42511316779687,3064.51,Área 02
-51.190567692046926,-27.425068027809484,2764.46,Área 02
-51.19056761455116,-27.425022887821815,3139.91,Área 02
-51.19056753705558,-27.42497774783385,3190.91,Área 02
-51.190567459560185,-27.424932607845598,3321.73,Área 02
-51.19056738206496,-27.424887467857047,3314.66,Área 02
-51.190567304569925,-27.424842327868202,2707.05,Área 02
-51.190567227075064,-27.42479718787907,2817.26,Área 02
-51.19056714958039,-27.42475204788964,3180.73,Área 02
-51.19056707208589,-27.424706907899925,3180.67,Área 02
-51.19056699459158,-27.424661767909907,3181.23,Área 02
-51.190566917097435,-27.424616627919605,4015.91,Área 02
-51.190566839603484,-27.424571487929,3195.7,Área 02
-51.190566762109704,-27.424526347938112,3337.12,Área 02
-51.190566684616115,-27.424481207946936,3291.98,Área 02
-51.190566607122705,-27.424436067955455,3216.58,Área 02
-51.190566529629464,-27.424390927963692,2975.16,Área 02
-51.190448064986576,-27.42610641336357,3243.98,Área 02
-51.19044798753603,-27.426061273382317,2861.28,Área 02
-51.190447910085666,-27.426016133400758,2995.53,Área 02
-51.190447832635485,-27.42597099341891,2933.65,Área 02
-51.19044775518548,-27.425925853436773,3075.71,Área 02
-51.19044767773566,-27.425880713454344,3634.16,Área 02
-51.190447600286014,-27.42583557347162,2588.93,Área 02
-51.19044752283656,-27.4257904334886,3227.56,Área 02
-51.19044744538728,-27.425745293505297,2653.07,Área 02
-51.19044736793818,-27.425700153521696,2938.51,Área 02
-51.19044729048926,-27.425655013537803,3328.99,Área 02
-51.19044721304052,-27.42560987355362,3073.07,Área 02
-51.19044713559196,-27.425564733569136,2787.82,Área 02
-51.19044705814358,-27.425519593584365,2878.68,Área 02
-51.190446980695384,-27.425474453599303,3227.65,Área 02
-51.19044690324737,-27.425429313613943,2875.41,Área 02
-51.19044682579953,-27.425384173628295,3112.37,Área 02
-51.190446748351874,-27.425339033642352,3069.9,Área 02
-51.1904466709044,-27.425293893656114,2895.86,Área 02
-51.190446593457104,-27.425248753669592,3595.0,Área 02
-51.19044651601,-27.425203613682775,3217.74,Área 02
-51.190446438563065,-27.42515847369566,2553.23,Área 02
-51.19044636111631,-27.425113333708254,3106.38,Área 02
-51.190446283669736,-27.425068193720556,2894.57,Área 02
-51.19044620622335,-27.42502305373257,3273.38,Área 02
-51.19044612877713,-27.42497791374429,2862.39,Área 02
-51.1904460513311,-27.42493277375571,3032.09,Área 02
-51.19044597388526,-27.42488763376685,3187.27,Área 02
-51.190445896439584,-27.424842493777682,3277.71,Área 02
-51.1904458189941,-27.42479735378823,2761.45,Área 02
-51.19044574154879,-27.42475221379848,2978.15,Área 02
-51.19044566410366,-27.424707073808445,2943.29,Área 02
-51.19044558665872,-27.42466193381812,2898.95,Área 02
-51.19044550921395,-27.424616793827493,3503.89,Área 02
-51.19044543176936,-27.424571653836573,3164.03,Área 02
-51.190445354324964,-27.424526513845365,2747.81,Área 02
-51.19044527688073,-27.424481373853872,3292.75,Área 02
-51.190445199436695,-27.424436233862068,3594.07,Área 02
-51.19044512199283,-27.42439109386998,3321.9,Área 02
-51.19032681027567,-27.426196859138503,2684.19,Área 02
-51.190326732874134,-27.426151719157506,2943.23,Área 02
-51.19032665547279,-27.426106579176224,3381.27,Área 02
-51.19032657807161,-27.426061439194648,2887.87,Área 02
-51.19032650067062,-27.426016299212773,3176.0,Área 02
-51.190326423269816,-27.42597115923061,3258.95,Área 02
-51.19032634586918,-27.425926019248156,2833.81,Área 02
-51.19032626846873,-27.425880879265407,3050.91,Área 02
-51.190326191068465,-27.425835739282363,2255.73,Área 02
-51.19032611366838,-27.42579059929903,2810.2,Área 02
-51.19032603626847,-27.425745459315408,3003.41,Área 02
-51.19032595886874,-27.425700319331483,2754.85,Área 02
-51.19032588146919,-27.425655179347277,3475.15,Área 02
-51.19032580406983,-27.42561003936277,2709.77,Área 02
-51.19032572667064,-27.425564899377974,2957.54,Área 02
-51.190325649271635,-27.425519759392888,3100.49,Área 02
-51.19032557187281,-27.4254746194075,3428.37,Área 02
-51.190325494474166,-27.425429479421826,2709.34,Área 02
-51.190325417075705,-27.425384339435862,3359.35,Área 02
-51.19032533967742,-27.425339199449603,3071.36,Área 02
-51.190325262279316,-27.42529405946305,2823.68,Área 02
-51.19032518488139,-27.425248919476207,3184.83,Área 02
-51.19032510748365,-27.42520377948907,3119.32,Área 02
-51.19032503008609,-27.42515863950164,2919.76,Área 02
-51.19032495268871,-27.42511349951391,3087.51,Área 02
-51.19032487529151,-27.42506835952589,2973.98,Área 02
-51.19032479789448,-27.425023219537593,3098.94,Área 02
-51.19032472049765,-27.42497807954899,3236.35,Área 02
-51.190324643100986,-27.424932939560094,3467.57,Área 02
-51.19032456570451,-27.42488779957091,2761.86,Área 02
-51.190324488308214,-27.424842659581426,3604.82,Área 02
-51.19032441091209,-27.424797519591657,2583.79,Área 02
-51.19032433351616,-27.424752379601596,3034.12,Área 02
-51.1903242561204,-27.424707239611237,3219.4,Área 02
-51.19032417872482,-27.42466209962059,3142.82,Área 02
-51.19032410132942,-27.42461695962965,2917.14,Área 02
-51.19032402393421,-27.424571819638413,3021.04,Área 02
-51.19032394653917,-27.424526679646885,2950.07,Área 02
-51.19032386914432,-27.42448153965507,2926.23,Área 02
-51.19032379174964,-27.42443639966295,3286.22,Área 02
-51.19032371435515,-27.42439125967055,3163.33,Área 02
-51.190205632719646,-27.42633244478823,2901.1,Área 02
-51.190205555366944,-27.426287304807797,3299.47,Área 02
-51.19020547801443,-27.426242164827073,3151.65,Área 02
-51.19020540066209,-27.426197024846058,3278.29,Área 02
-51.190205323309925,-27.426151884864737,3232.73,Área 02
-51.190205245957955,-27.426106744883135,2868.33,Área 02
-51.19020516860615,-27.42606160490124,2935.78,Área 02
-51.19020509125454,-27.426016464919055,3262.9,Área 02
-51.1902050139031,-27.425971324936572,3228.92,Área 02
-51.190204936551844,-27.4259261849538,3071.35,Área 02
-51.19020485920077,-27.425881044970733,3106.16,Área 02
-51.19020478184988,-27.425835904987377,3396.5,Área 02
-51.19020470449915,-27.425790765003725,2929.44,Área 02
-51.190204627148624,-27.42574562501978,3214.36,Área 02
-51.19020454979827,-27.425700485035538,3027.28,Área 02
-51.190204472448094,-27.425655345051013,3023.66,Área 02
-51.1902043950981,-27.425610205066192,3353.03,Área 02
-51.19020431774828,-27.42556506508107,3284.94,Área 02
-51.19020424039865,-27.425519925095667,3282.21,Área 02
-51.190204163049195,-27.42547478510997,3405.45,Área 02
-51.190204085699925,-27.425429645123977,3084.59,Área 02
-51.19020400835083,-27.425384505137693,3250.07,Área 02
-51.19020393100192,-27.42533936515111,3002.27,Área 02
-51.19020385365319,-27.42529422516424,3161.13,Área 02
-51.190203776304635,-27.42524908517708,3047.8,Área 02
-51.19020369895627,-27.425203945189626,3104.83,Área 02
-51.19020362160808,-27.425158805201878,3229.63,Área 02
-51.19020354426007,-27.425113665213832,2876.53,Área 02
-51.19020346691224,-27.4250685252255,3604.43,Área 02
-51.19020338956459,-27.425023385236877,2830.08,Área 02
-51.19020331221712,-27.424978245247956,2778.29,Área 02
-51.190203234869834,-27.42493310525875,3371.62,Área 02
-51.190203157522724,-27.424887965269246,3280.25,Área 02
-51.1902030801758,-27.424842825279445,3238.62,Área 02
-51.190203002829044,-27.424797685289356,3239.92,Área 02
-51.190202925482474,-27.424752545298976,3080.03,Área 02
-51.190202848136096,-27.4247074053083,2859.02,Área 02
-51.19020277078988,-27.42466226531733,3102.54,Área 02
-51.19020269344386,-27.424617125326076,2914.55,Área 02
-51.19020261609801,-27.42457198533452,3327.87,Área 02
-51.190202538752345,-27.424526845342676,3047.57,Área 02
-51.19020246140686,-27.424481705350544,2878.21,Área 02
-51.19020238406156,-27.42443656535811,3004.49,Área 02
-51.19020230671644,-27.424391425365386,3188.32,Área 02
-51.19020222937149,-27.42434628537237,2944.41,Área 02
-51.19008445486796,-27.426468030331495,2880.03,Área 02
-51.1900843775641,-27.42642289035162,3146.76,Área 02
-51.19008430026041,-27.42637775037145,3147.33,Área 02
-51.190084222956905,-27.426332610390997,2959.6,Área 02
-51.19008414565358,-27.426287470410248,2968.83,Área 02
-51.19008406835044,-27.426242330429204,3144.85,Área 02
-51.190083991047466,-27.426197190447873,2725.07,Área 02
-51.19008391374469,-27.42615205046624,2735.47,Área 02
-51.19008383644208,-27.426106910484318,2907.98,Área 02
-51.19008375913966,-27.42606177050211,3034.48,Área 02
-51.190083681837415,-27.426016630519598,3165.82,Área 02
-51.19008360453535,-27.4259714905368,3457.18,Área 02
-51.19008352723347,-27.42592635055371,3303.0,Área 02
-51.19008344993176,-27.425881210570324,3048.85,Área 02
-51.19008337263024,-27.425836070586648,3084.33,Área 02
-51.1900832953289,-27.425790930602677,2838.71,Área 02
-51.19008321802774,-27.42574579061842,3084.96,Área 02
-51.190083140726756,-27.425700650633864,3017.67,Área 02
-51.19008306342595,-27.425655510649015,3170.77,Área 02
-51.19008298612533,-27.42561037066388,2883.53,Área 02
-51.19008290882489,-27.42556523067844,3220.42,Área 02
-51.190082831524634,-27.425520090692714,3474.02,Área 02
-51.19008275422455,-27.4254749507067,3063.9,Área 02
-51.190082676924646,-27.42542981072039,3191.76,Área 02
-51.19008259962492,-27.42538467073379,3264.12,Área 02
-51.19008252232538,-27.425339530746896,2991.53,Área 02
-51.19008244502603,-27.425294390759703,3148.11,Área 02
-51.19008236772685,-27.42524925077222,3095.48,Área 02
-51.19008229042785,-27.425204110784456,3117.0,Área 02
-51.19008221312903,-27.42515897079639,2899.58,Área 02
-51.19008213583039,-27.425113830808023,3099.21,Área 02
-51.19008205853193,-27.425068690819376,3217.83,Área 02
-51.19008198123365,-27.42502355083043,3456.37,Área 02
-51.19008190393555,-27.424978410841195,3333.65,Área 02
-51.19008182663764,-27.424933270851664,3632.38,Área 02
-51.190081749339896,-27.424888130861845,2902.49,Área 02
-51.19008167204234,-27.42484299087173,3312.66,Área 02
-51.19008159474497,-27.424797850881323,3140.66,Área 02
-51.190081517447766,-27.424752710890626,3642.53,Área 02
-51.19008144015075,-27.42470757089963,2893.25,Área 02
-51.19008136285391,-27.424662430908352,2885.65,Área 02
-51.190081285557255,-27.424617290916775,2945.98,Área 02
-51.19008120826078,-27.424572150924902,2565.1,Área 02
-51.19008113096449,-27.42452701093274,2964.89,Área 02
-51.190081053668365,-27.424481870940287,2906.79,Área 02
-51.19008097637243,-27.424436730947534,3134.42,Área 02
-51.190080899076676,-27.424391590954496,3182.51,Área 02
-51.1900808217811,-27.424346450961163,3566.36,Área 02
-51.18996327672061,-27.42660361576829,3335.18,Área 02
-51.18996319946558,-27.42655847578898,2953.59,Área 02
-51.18996312221073,-27.426513335809375,2873.47,Área 02
-51.18996304495606,-27.42646819582948,3221.3,Área 02
-51.189962967701575,-27.426423055849284,2768.51,Área 02
-51.18996289044726,-27.4263779158688,3556.68,Área 02
-51.18996281319313,-27.426332775888028,3393.93,Área 02
-51.189962735939176,-27.42628763590696,2982.02,Área 02
-51.1899626586854,-27.4262424959256,2671.28,Área 02
-51.189962581431814,-27.426197355943945,3438.28,Área 02
-51.1899625041784,-27.426152215962,3071.43,Área 02
-51.18996242692517,-27.42610707597976,3409.77,Área 02
-51.18996234967212,-27.426061935997232,2701.95,Área 02
-51.18996227241925,-27.42601679601441,2950.97,Área 02
-51.189962195166565,-27.42597165603129,3102.37,Área 02
-51.18996211791405,-27.42592651604788,3113.05,Área 02
-51.189962040661726,-27.425881376064183,2989.04,Área 02
-51.18996196340957,-27.425836236080187,3257.52,Área 02
-51.189961886157604,-27.425791096095896,2835.15,Área 02
-51.189961808905814,-27.42574595611132,3066.71,Área 02
-51.1899617316542,-27.425700816126447,3132.63,Área 02
-51.18996165440277,-27.425655676141282,3231.41,Área 02
-51.18996157715153,-27.42561053615583,3280.95,Área 02
-51.189961499900456,-27.42556539617007,2822.14,Área 02
-51.18996142264957,-27.425520256184033,2720.02,Área 02
-51.18996134539886,-27.4254751161977,3423.22,Área 02
-51.18996126814833,-27.42542997621107,3187.12,Área 02
-51.18996119089798,-27.42538483622415,2917.17,Área 02
-51.18996111364781,-27.425339696236936,3492.33,Área 02
-51.189961036397825,-27.425294556249433,3133.71,Área 02
-51.18996095914802,-27.425249416261632,3399.86,Área 02
-51.189960881898386,-27.425204276273547,3122.17,Área 02
-51.18996080464894,-27.425159136285163,3620.72,Área 02
-51.18996072739967,-27.42511399629648,3544.62,Área 02
-51.18996065015058,-27.425068856307515,3043.79,Área 02
-51.189960572901676,-27.425023716318254,3349.18,Área 02
-51.18996049565295,-27.424978576328698,3267.88,Área 02
-51.189960418404404,-27.424933436338858,3448.94,Área 02
-51.18996034115603,-27.424888296348715,2865.8,Área 02
-51.18996026390784,-27.424843156358282,3278.79,Área 02
-51.18996018665984,-27.42479801636756,3372.13,Área 02
-51.18996010941201,-27.424752876376544,2668.09,Área 02
-51.189960032164365,-27.424707736385233,2812.21,Área 02
-51.1899599549169,-27.424662596393635,2598.46,Área 02
-51.18995987766961,-27.424617456401737,3041.17,Área 02
-51.18995980042251,-27.424572316409552,3288.15,Área 02
-51.189959723175576,-27.42452717641707,3484.61,Área 02
-51.18995964592883,-27.424482036424298,3127.79,Área 02
-51.18995956868227,-27.42443689643123,3516.67,Área 02
-51.18995949143588,-27.424391756437874,2764.74,Área 02
-51.18995941418967,-27.424346616444225,2684.16,Área 02
-51.18995933694365,-27.42430147645028,3096.37,Área 02
-51.1898420982776,-27.42673920109862,3206.52,Área 02
-51.18984202107141,-27.426694061119868,3102.58,Área 02
-51.18984194386539,-27.426648921140828,2594.14,Área 02
-51.189841866659556,-27.426603781161493,3088.97,Área 02
-51.189841789453894,-27.42655864118186,2785.38,Área 02
-51.189841712248416,-27.426513501201935,3279.17,Área 02
-51.18984163504312,-27.42646836122172,3203.65,Área 02
-51.18984155783801,-27.426423221241212,2877.27,Área 02
-51.18984148063307,-27.42637808126041,2984.03,Área 02
-51.18984140342831,-27.426332941279323,2847.94,Área 02
-51.189841326223736,-27.42628780129793,3097.32,Área 02
-51.18984124901934,-27.426242661316255,3352.02,Área 02
-51.18984117181512,-27.42619752133429,2867.05,Área 02
-51.18984109461108,-27.42615238135202,3239.74,Área 02
-51.189841017407225,-27.42610724136947,2981.42,Área 02
-51.18984094020355,-27.426062101386623,2916.01,Área 02
-51.18984086300005,-27.426016961403473,3087.72,Área 02
-51.18984078579674,-27.425971821420045,2855.91,Área 02
-51.1898407085936,-27.42592668143632,2976.56,Área 02
-51.189840631390645,-27.425881541452306,2815.75,Área 02
-51.18984055418787,-27.42583640146799,3606.65,Área 02
-51.18984047698527,-27.42579126148338,3124.53,Área 02
-51.18984039978285,-27.425746121498488,2941.03,Área 02
-51.189840322580615,-27.425700981513295,3169.71,Área 02
-51.18984024537856,-27.42565584152782,3088.38,Área 02
-51.18984016817668,-27.42561070154204,3061.47,Área 02
-51.18984009097498,-27.425565561555974,3270.5,Área 02
-51.18984001377347,-27.425520421569612,3306.58,Área 02
-51.189839936572135,-27.425475281582962,2984.83,Área 02
-51.18983985937097,-27.425430141596014,2973.74,Área 02
-51.18983978217,-27.42538500160878,3049.18,Área 02
-51.1898397049692,-27.42533986162125,2542.71,Área 02
-51.189839627768585,-27.42529472163342,2739.64,Área 02
-51.189839550568145,-27.42524958164531,3460.41,Área 02
-51.18983947336789,-27.42520444165691,3530.18,Área 02
-51.18983939616781,-27.425159301668206,3056.93,Área 02
-51.18983931896791,-27.425114161679208,3263.57,Área 02
-51.1898392417682,-27.425069021689925,3197.49,Área 02
-51.18983916456866,-27.425023881700344,3889.65,Área 02
-51.18983908736931,-27.424978741710476,3400.07,Área 02
-51.18983901017013,-27.424933601720312,3088.44,Área 02
-51.189838932971135,-27.424888461729857,2881.78,Área 02
-51.189838855772315,-27.424843321739104,2719.31,Área 02
-51.18983877857368,-27.424798181748063,3172.03,Área 02
-51.18983870137522,-27.424753041756727,2932.32,Área 02
-51.18983862417694,-27.424707901765103,2766.1,Área 02
-51.18983854697885,-27.424662761773188,2960.26,Área 02
-51.18983846978093,-27.424617621780975,2851.77,Área 02
-51.1898383925832,-27.424572481788463,3544.19,Área 02
-51.189838315385636,-27.424527341795674,3343.06,Área 02
-51.18983823818826,-27.42448220180258,3120.9,Área 02
-51.189838160991066,-27.424437061809197,3493.13,Área 02
-51.189838083794044,-27.42439192181552,3142.73,Área 02
-51.18983800659721,-27.42434678182155,2908.32,Área 02
-51.189837929400554,-27.424301641827295,3504.67,Área 02
-51.18972084238156,-27.426829646344288,3258.86,Área 02
-51.18972076522438,-27.426784506365806,2865.07,Área 02
-51.18972068806738,-27.426739366387025,3077.04,Área 02
