Latitud,Longitud,Rendimiento (kg/ha),Zona
-27.4248639834697,-51.1912350881514,2521.0,Área 02
-27.4248188434825,-51.1912350103849,2522.0,Área 02
-27.424773703495,-51.1912349326186,2523.0,Área 02
-27.4247285635071,-51.1912348548525,2524.0,Área 02
-27.424683423519,-51.1912347770866,2525.0,Área 02
-27.4246382835306,-51.1912346993208,2526.0,Área 02
-27.4245931435419,-51.1912346215552,2527.0,Área 02
-27.4245480035529,-51.1912345437898,2528.0,Área 02
-27.4245028635636,-51.1912344660246,2529.0,Área 02
-27.4244811545559,-51.1911332552777,2530.0,Área 02
-27.4245262945456,-51.1911333330017,2531.0,Área 02
-27.424571434535,-51.1911334107258,2532.0,Área 02
-27.4246165745241,-51.1911334884502,2533.0,Área 02
-27.4246617145129,-51.1911335661747,2534.0,Área 02
-27.4247068545015,-51.1911336438994,2535.0,Área 02
-27.4247519944897,-51.1911337216243,2536.0,Área 02
-27.4247971344776,-51.1911337993494,2537.0,Área 02
-27.4248422744653,-51.1911338770747,2538.0,Área 02
-27.4248874144526,-51.1911339548001,2539.0,Área 02
-27.4249325544397,-51.1911340325257,2540.0,Área 02
-27.4249776944264,-51.1911341102515,2541.0,Área 02
-27.4250228344129,-51.1911341879775,2542.0,Área 02
-27.4250679743991,-51.1911342657037,2543.0,Área 02
-27.425113114385,-51.19113434343,2544.0,Área 02
-27.4251582543706,-51.1911344211565,2545.0,Área 02
-27.4252033943559,-51.1911344988832,2546.0,Área 02
-27.4252485343409,-51.1911345766101,2547.0,Área 02
-27.4252936743256,-51.1911346543372,2548.0,Área 02
-27.42533881431,-51.1911347320644,2549.0,Área 02
-27.4253839542941,-51.1911348097919,2550.0,Área 02
-27.4254962206942,-51.1910338288332,2551.0,Área 02
-27.4254510807106,-51.1910337511465,2552.0,Área 02
-27.4254059407266,-51.1910336734599,2553.0,Área 02
-27.4253608007424,-51.1910335957735,2554.0,Área 02
-27.4253156607578,-51.1910335180874,2555.0,Área 02
-27.425270520773,-51.1910334404013,2556.0,Área 02
-27.4252253807878,-51.1910333627155,2557.0,Área 02
-27.4251802408024,-51.1910332850299,2558.0,Área 02
-27.4251351008167,-51.1910332073444,2559.0,Área 02
-27.4250899608307,-51.1910331296591,2560.0,Área 02
-27.4250448208444,-51.191033051974,2561.0,Área 02
-27.4249996808578,-51.1910329742891,2562.0,Área 02
-27.4249545408709,-51.1910328966043,2563.0,Área 02
-27.4249094008837,-51.1910328189197,2564.0,Área 02
-27.4248642608962,-51.1910327412354,2565.0,Área 02
-27.4248191209085,-51.1910326635512,2566.0,Área 02
-27.4247739809204,-51.1910325858671,2567.0,Área 02
-27.4247288409321,-51.1910325081833,2568.0,Área 02
-27.4246837009434,-51.1910324304996,2569.0,Área 02
-27.4246385609545,-51.1910323528162,2570.0,Área 02
-27.4245934209653,-51.1910322751329,2571.0,Área 02
-27.4245482809757,-51.1910321974497,2572.0,Área 02
-27.4245031409859,-51.1910321197668,2573.0,Área 02
-27.4244814318311,-51.1909309090583,2574.0,Área 02
-27.4245265718213,-51.1909309867,2575.0,Área 02
-27.4245717118112,-51.1909310643419,2576.0,Área 02
-27.4246168518009,-51.1909311419839,2577.0,Área 02
-27.4246619917902,-51.1909312196262,2578.0,Área 02
-27.4247071317793,-51.1909312972686,2579.0,Área 02
-27.424752271768,-51.1909313749112,2580.0,Área 02
-27.4247974117565,-51.190931452554,2581.0,Área 02
-27.4248425517447,-51.190931530197,2582.0,Área 02
-27.4248876917326,-51.1909316078401,2583.0,Área 02
-27.4249328317201,-51.1909316854835,2584.0,Área 02
-27.4249779717074,-51.190931763127,2585.0,Área 02
-27.4250231116944,-51.1909318407707,2586.0,Área 02
-27.4250682516812,-51.1909319184146,2587.0,Área 02
-27.4251133916676,-51.1909319960586,2588.0,Área 02
-27.4251585316537,-51.1909320737029,2589.0,Área 02
-27.4252036716395,-51.1909321513473,2590.0,Área 02
-27.4252488116251,-51.1909322289919,2591.0,Área 02
-27.4252939516103,-51.1909323066367,2592.0,Área 02
-27.4253390915953,-51.1909323842816,2593.0,Área 02
-27.4253842315799,-51.1909324619268,2594.0,Área 02
-27.4254293715643,-51.1909325395721,2595.0,Área 02
-27.4254745115484,-51.1909326172176,2596.0,Área 02
-27.4255196515322,-51.1909326948633,2597.0,Área 02
-27.4255647915157,-51.1909327725092,2598.0,Área 02
-27.4256099314989,-51.1909328501552,2599.0,Área 02
-27.4256770577684,-51.1908317911819,2600.0,Área 02
-27.4256319177854,-51.1908317135767,2601.0,Área 02
-27.425586777802,-51.1908316359717,2602.0,Área 02
-27.4255416378184,-51.1908315583669,2603.0,Área 02
-27.4254964978345,-51.1908314807623,2604.0,Área 02
-27.4254513578503,-51.1908314031578,2605.0,Área 02
-27.4254062178658,-51.1908313255535,2606.0,Área 02
-27.425361077881,-51.1908312479494,2607.0,Área 02
-27.425315937896,-51.1908311703455,2608.0,Área 02
-27.4252707979106,-51.1908310927418,2609.0,Área 02
-27.4252256579249,-51.1908310151383,2610.0,Área 02
-27.425180517939,-51.1908309375349,2611.0,Área 02
-27.4251353779527,-51.1908308599317,2612.0,Área 02
-27.4250902379662,-51.1908307823287,2613.0,Área 02
-27.4250450979793,-51.1908307047259,2614.0,Área 02
-27.4249999579922,-51.1908306271232,2615.0,Área 02
-27.4249548180048,-51.1908305495208,2616.0,Área 02
-27.4249096780171,-51.1908304719185,2617.0,Área 02
-27.4248645380291,-51.1908303943164,2618.0,Área 02
-27.4248193980408,-51.1908303167145,2619.0,Área 02
-27.4247742580522,-51.1908302391127,2620.0,Área 02
-27.4247291180633,-51.1908301615112,2621.0,Área 02
-27.4246839780741,-51.1908300839098,2622.0,Área 02
-27.4246388380847,-51.1908300063086,2623.0,Área 02
-27.4245936980949,-51.1908299287076,2624.0,Área 02
-27.4245485581048,-51.1908298511068,2625.0,Área 02
-27.4245034181145,-51.1908297735061,2626.0,Área 02
-27.4244582781239,-51.1908296959057,2627.0,Área 02
-27.4244365688215,-51.1907284852767,2628.0,Área 02
-27.4244817088126,-51.1907285628359,2629.0,Área 02
-27.4245268488033,-51.1907286403954,2630.0,Área 02
-27.4245719887938,-51.190728717955,2631.0,Área 02
-27.4246171287839,-51.1907287955148,2632.0,Área 02
-27.4246622687738,-51.1907288730747,2633.0,Área 02
-27.4247074087634,-51.1907289506349,2634.0,Área 02
-27.4247525487527,-51.1907290281952,2635.0,Área 02
-27.4247976887417,-51.1907291057557,2636.0,Área 02
-27.4248428287304,-51.1907291833164,2637.0,Área 02
-27.4248879687188,-51.1907292608773,2638.0,Área 02
-27.4249331087069,-51.1907293384383,2639.0,Área 02
-27.4249782486948,-51.1907294159995,2640.0,Área 02
-27.4250233886823,-51.190729493561,2641.0,Área 02
-27.4250685286695,-51.1907295711226,2642.0,Área 02
-27.4251136686565,-51.1907296486843,2643.0,Área 02
-27.4251588086431,-51.1907297262463,2644.0,Área 02
-27.4252039486295,-51.1907298038084,2645.0,Área 02
-27.4252490886156,-51.1907298813707,2646.0,Área 02
-27.4252942286014,-51.1907299589332,2647.0,Área 02
-27.4253393685868,-51.1907300364959,2648.0,Área 02
-27.425384508572,-51.1907301140588,2649.0,Área 02
-27.4254296485569,-51.1907301916218,2650.0,Área 02
-27.4254747885415,-51.190730269185,2651.0,Área 02
-27.4255199285259,-51.1907303467484,2652.0,Área 02
-27.4255650685099,-51.190730424312,2653.0,Área 02
-27.4256102084936,-51.1907305018758,2654.0,Área 02
-27.4256553484771,-51.1907305794397,2655.0,Área 02
-27.4257004884602,-51.1907306570038,2656.0,Área 02
-27.4257456284431,-51.1907307345681,2657.0,Área 02
-27.4257907684256,-51.1907308121326,2658.0,Área 02
-27.4259030345305,-51.190629830396,2659.0,Área 02
-27.4258578945484,-51.1906297528722,2660.0,Área 02
-27.425812754566,-51.1906296753486,2661.0,Área 02
-27.4257676145833,-51.1906295978252,2662.0,Área 02
-27.4257224746004,-51.1906295203019,2663.0,Área 02
-27.4256773346171,-51.1906294427789,2664.0,Área 02
-27.4256321946335,-51.190629365256,2665.0,Área 02
-27.4255870546497,-51.1906292877333,2666.0,Área 02
-27.4255419146655,-51.1906292102107,2667.0,Área 02
-27.4254967746811,-51.1906291326884,2668.0,Área 02
-27.4254516346964,-51.1906290551662,2669.0,Área 02
-27.4254064947113,-51.1906289776443,2670.0,Área 02
-27.425361354726,-51.1906289001225,2671.0,Área 02
-27.4253162147404,-51.1906288226008,2672.0,Área 02
-27.4252710747545,-51.1906287450794,2673.0,Área 02
-27.4252259347683,-51.1906286675581,2674.0,Área 02
-27.4251807947818,-51.190628590037,2675.0,Área 02
-27.425135654795,-51.1906285125161,2676.0,Área 02
-27.425090514808,-51.1906284349954,2677.0,Área 02
-27.4250453748206,-51.1906283574749,2678.0,Área 02
-27.4250002348329,-51.1906282799545,2679.0,Área 02
-27.424955094845,-51.1906282024344,2680.0,Área 02
-27.4249099548567,-51.1906281249144,2681.0,Área 02
-27.4248648148682,-51.1906280473945,2682.0,Área 02
-27.4248196748794,-51.1906279698749,2683.0,Área 02
-27.4247745348903,-51.1906278923555,2684.0,Área 02
-27.4247293949008,-51.1906278148362,2685.0,Área 02
-27.4246842549111,-51.1906277373171,2686.0,Área 02
-27.4246391149211,-51.1906276597982,2687.0,Área 02
-27.4245939749308,-51.1906275822795,2688.0,Área 02
-27.4245488349403,-51.1906275047609,2689.0,Área 02
-27.4245036949494,-51.1906274272425,2690.0,Área 02
-27.4244585549582,-51.1906273497243,2691.0,Área 02
-27.4244134149667,-51.1906272722063,2692.0,Área 02
-27.4243917055169,-51.190526061657,2693.0,Área 02
-27.4244368455088,-51.1905261391338,2694.0,Área 02
-27.4244819855003,-51.1905262166107,2695.0,Área 02
-27.4245271254916,-51.1905262940879,2696.0,Área 02
-27.4245722654826,-51.1905263715652,2697.0,Área 02
-27.4246174054733,-51.1905264490427,2698.0,Área 02
-27.4246625454637,-51.1905265265204,2699.0,Área 02
-27.4247076854538,-51.1905266039982,2700.0,Área 02
-27.4247528254437,-51.1905266814763,2701.0,Área 02
-27.4247979654332,-51.1905267589545,2702.0,Área 02
-27.4248431054224,-51.1905268364329,2703.0,Área 02
-27.4248882454114,-51.1905269139115,2704.0,Área 02
-27.4249333854,-51.1905269913903,2705.0,Área 02
-27.4249785253884,-51.1905270688692,2706.0,Área 02
-27.4250236653764,-51.1905271463483,2707.0,Área 02
-27.4250688053642,-51.1905272238277,2708.0,Área 02
-27.4251139453517,-51.1905273013071,2709.0,Área 02
-27.4251590853389,-51.1905273787868,2710.0,Área 02
-27.4252042253258,-51.1905274562667,2711.0,Área 02
-27.4252493653124,-51.1905275337467,2712.0,Área 02
-27.4252945052987,-51.1905276112269,2713.0,Área 02
-27.4253396452847,-51.1905276887073,2714.0,Área 02
-27.4253847852704,-51.1905277661879,2715.0,Área 02
-27.4254299252559,-51.1905278436686,2716.0,Área 02
-27.425475065241,-51.1905279211496,2717.0,Área 02
-27.4255202052258,-51.1905279986307,2718.0,Área 02
-27.4255653452104,-51.190528076112,2719.0,Área 02
-27.4256104851947,-51.1905281535934,2720.0,Área 02
-27.4256556251786,-51.1905282310751,2721.0,Área 02
-27.4257007651623,-51.1905283085569,2722.0,Área 02
-27.4257459051457,-51.190528386039,2723.0,Área 02
-27.4257910451288,-51.1905284635212,2724.0,Área 02
-27.4258361851116,-51.1905285410035,2725.0,Área 02
-27.4258813250941,-51.1905286184861,2726.0,Área 02
-27.4259264650763,-51.1905286959688,2727.0,Área 02
-27.4259716050582,-51.1905287734518,2728.0,Área 02
-27.4260167450399,-51.1905288509349,2729.0,Área 02
-27.4261290109969,-51.1904278687889,2730.0,Área 02
-27.4260838710157,-51.1904277913465,2731.0,Área 02
-27.4260387310343,-51.1904277139043,2732.0,Área 02
-27.4259935910525,-51.1904276364622,2733.0,Área 02
-27.4259484510705,-51.1904275590204,2734.0,Área 02
-27.4259033110882,-51.1904274815787,2735.0,Área 02
-27.4258581711055,-51.1904274041372,2736.0,Área 02
-27.4258130311226,-51.1904273266959,2737.0,Área 02
-27.4257678911394,-51.1904272492547,2738.0,Área 02
-27.4257227511559,-51.1904271718138,2739.0,Área 02
-27.4256776111721,-51.190427094373,2740.0,Área 02
-27.425632471188,-51.1904270169324,2741.0,Área 02
-27.4255873312036,-51.190426939492,2742.0,Área 02
-27.4255421912189,-51.1904268620517,2743.0,Área 02
-27.4254970512339,-51.1904267846117,2744.0,Área 02
-27.4254519112487,-51.1904267071718,2745.0,Área 02
-27.4254067712631,-51.1904266297321,2746.0,Área 02
-27.4253616312773,-51.1904265522926,2747.0,Área 02
-27.4253164912911,-51.1904264748532,2748.0,Área 02
-27.4252713513047,-51.1904263974141,2749.0,Área 02
-27.425226211318,-51.1904263199751,2750.0,Área 02
-27.425181071331,-51.1904262425363,2751.0,Área 02
-27.4251359313436,-51.1904261650977,2752.0,Área 02
-27.425090791356,-51.1904260876593,2753.0,Área 02
-27.4250456513681,-51.190426010221,2754.0,Área 02
-27.42500051138,-51.1904259327829,2755.0,Área 02
-27.4249553713915,-51.190425855345,2756.0,Área 02
-27.4249102314027,-51.1904257779073,2757.0,Área 02
-27.4248650914136,-51.1904257004698,2758.0,Área 02
-27.4248199514243,-51.1904256230324,2759.0,Área 02
-27.4247748114346,-51.1904255455953,2760.0,Área 02
-27.4247296714447,-51.1904254681583,2761.0,Área 02
-27.4246845314544,-51.1904253907215,2762.0,Área 02
-27.4246393914639,-51.1904253132849,2763.0,Área 02
-27.4245942514731,-51.1904252358484,2764.0,Área 02
-27.424549111482,-51.1904251584121,2765.0,Área 02
-27.4245039714906,-51.1904250809761,2766.0,Área 02
-27.4244588314989,-51.1904250035401,2767.0,Área 02
-27.4244136915069,-51.1904249261044,2768.0,Área 02
-27.4243685515146,-51.1904248486689,2769.0,Área 02
-27.4243919819099,-51.1903237155935,2770.0,Área 02
-27.4244371219023,-51.190323792988,2771.0,Área 02
-27.4244822618944,-51.1903238703826,2772.0,Área 02
-27.4245274018862,-51.1903239477775,2773.0,Área 02
-27.4245725418778,-51.1903240251725,2774.0,Área 02
-27.424617681869,-51.1903241025678,2775.0,Área 02
-27.4246628218599,-51.1903241799632,2776.0,Área 02
-27.4247079618506,-51.1903242573587,2777.0,Área 02
-27.4247531018409,-51.1903243347545,2778.0,Área 02
-27.424798241831,-51.1903244121504,2779.0,Área 02
-27.4248433818207,-51.1903244895466,2780.0,Área 02
-27.4248885218102,-51.1903245669429,2781.0,Área 02
-27.4249336617994,-51.1903246443393,2782.0,Área 02
-27.4249788017883,-51.190324721736,2783.0,Área 02
-27.4250239417769,-51.1903247991328,2784.0,Área 02
-27.4250690817652,-51.1903248765299,2785.0,Área 02
-27.4251142217532,-51.1903249539271,2786.0,Área 02
-27.4251593617409,-51.1903250313245,2787.0,Área 02
-27.4252045017284,-51.190325108722,2788.0,Área 02
-27.4252496417155,-51.1903251861198,2789.0,Área 02
-27.4252947817023,-51.1903252635177,2790.0,Área 02
-27.4253399216889,-51.1903253409158,2791.0,Área 02
-27.4253850616751,-51.1903254183141,2792.0,Área 02
-27.4254302016611,-51.1903254957125,2793.0,Área 02
-27.4254753416468,-51.1903255731112,2794.0,Área 02
-27.4255204816321,-51.19032565051,2795.0,Área 02
-27.4255656216172,-51.190325727909,2796.0,Área 02
-27.425610761602,-51.1903258053082,2797.0,Área 02
-27.4256559015865,-51.1903258827076,2798.0,Área 02
-27.4257010415707,-51.1903259601071,2799.0,Área 02
-27.4257461815546,-51.1903260375069,2800.0,Área 02
-27.4257913215383,-51.1903261149068,3000.0,Área 02
-27.4258364615216,-51.1903261923069,3001.0,Área 02
-27.4258816015046,-51.1903262697071,3002.0,Área 02
-27.4259267414874,-51.1903263471076,3003.0,Área 02
-27.4259718814698,-51.1903264245082,3004.0,Área 02
-27.426017021452,-51.190326501909,3005.0,Área 02
-27.4260621614338,-51.19032657931,3006.0,Área 02
-27.4261073014154,-51.1903266567112,3007.0,Área 02
-27.4261524413967,-51.1903267341126,3008.0,Área 02
-27.4261975813777,-51.1903268115141,3009.0,Área 02
-27.4263098471873,-51.1902258289995,3010.0,Área 02
-27.4262647072068,-51.1902257516387,3011.0,Área 02
-27.426219567226,-51.190225674278,3012.0,Área 02
-27.4261744272449,-51.1902255969175,3013.0,Área 02
-27.4261292872635,-51.1902255195572,3014.0,Área 02
-27.4260841472818,-51.1902254421971,3015.0,Área 02
-27.4260390072998,-51.1902253648372,3016.0,Área 02
-27.4259938673175,-51.1902252874774,3017.0,Área 02
-27.4259487273349,-51.1902252101179,3018.0,Área 02
-27.4259035873521,-51.1902251327585,3019.0,Área 02
-27.4258584473689,-51.1902250553993,3020.0,Área 02
-27.4258133073855,-51.1902249780402,3021.0,Área 02
-27.4257681674017,-51.1902249006814,3022.0,Área 02
-27.4257230274177,-51.1902248233227,3023.0,Área 02
-27.4256778874333,-51.1902247459642,3024.0,Área 02
-27.4256327474487,-51.1902246686059,3025.0,Área 02
-27.4255876074638,-51.1902245912478,3026.0,Área 02
-27.4255424674786,-51.1902245138898,3027.0,Área 02
-27.4254973274931,-51.190224436532,3028.0,Área 02
-27.4254521875073,-51.1902243591744,3029.0,Área 02
-27.4254070475212,-51.190224281817,3030.0,Área 02
-27.4253619075348,-51.1902242044598,3031.0,Área 02
-27.4253167675482,-51.1902241271027,3032.0,Área 02
-27.4252716275612,-51.1902240497459,3033.0,Área 02
-27.4252264875739,-51.1902239723892,3034.0,Área 02
-27.4251813475864,-51.1902238950327,3035.0,Área 02
-27.4251362075986,-51.1902238176763,3036.0,Área 02
-27.4250910676104,-51.1902237403202,3037.0,Área 02
-27.425045927622,-51.1902236629642,3038.0,Área 02
-27.4250007876333,-51.1902235856084,3039.0,Área 02
-27.4249556476443,-51.1902235082528,3040.0,Área 02
-27.424910507655,-51.1902234308974,3041.0,Área 02
-27.4248653676654,-51.1902233535422,3042.0,Área 02
-27.4248202276755,-51.1902232761871,3043.0,Área 02
-27.4247750876853,-51.1902231988322,3044.0,Área 02
-27.4247299476948,-51.1902231214775,3045.0,Área 02
-27.424684807704,-51.190223044123,3046.0,Área 02
-27.424639667713,-51.1902229667686,3047.0,Área 02
-27.4245945277216,-51.1902228894145,3048.0,Área 02
-27.42454938773,-51.1902228120605,3049.0,Área 02
-27.4245042477381,-51.1902227347067,3050.0,Área 02
-27.4244591077458,-51.1902226573531,3051.0,Área 02
-27.4244139677533,-51.1902225799996,3052.0,Área 02
-27.4243688277605,-51.1902225026464,3053.0,Área 02
-27.424347118016,-51.190121292215,3054.0,Área 02
-27.4243922580092,-51.190121369527,3055.0,Área 02
-27.4244373980022,-51.1901214468393,3056.0,Área 02
-27.4244825379948,-51.1901215241516,3057.0,Área 02
-27.4245276779872,-51.1901216014642,3058.0,Área 02
-27.4245728179792,-51.190121678777,3059.0,Área 02
-27.424617957971,-51.1901217560899,3060.0,Área 02
-27.4246630979624,-51.190121833403,3061.0,Área 02
-27.4247082379536,-51.1901219107163,3062.0,Área 02
-27.4247533779445,-51.1901219880298,3063.0,Área 02
-27.4247985179351,-51.1901220653435,3064.0,Área 02
-27.4248436579254,-51.1901221426573,3065.0,Área 02
-27.4248887979154,-51.1901222199713,3066.0,Área 02
-27.4249339379051,-51.1901222972855,3067.0,Área 02
-27.4249790778945,-51.1901223745999,3068.0,Área 02
-27.4250242178836,-51.1901224519145,3069.0,Área 02
-27.4250693578725,-51.1901225292292,3070.0,Área 02
-27.425114497861,-51.1901226065441,3071.0,Área 02
-27.4251596378493,-51.1901226838592,3072.0,Área 02
-27.4252047778372,-51.1901227611745,3073.0,Área 02
-27.4252499178249,-51.1901228384899,3074.0,Área 02
-27.4252950578122,-51.1901229158056,3075.0,Área 02
-27.4253401977993,-51.1901229931214,3076.0,Área 02
-27.4253853377861,-51.1901230704374,3077.0,Área 02
-27.4254304777726,-51.1901231477536,3078.0,Área 02
-27.4254756177588,-51.1901232250699,3079.0,Área 02
-27.4255207577447,-51.1901233023865,3080.0,Área 02
-27.4255658977303,-51.1901233797032,3081.0,Área 02
-27.4256110377156,-51.1901234570201,3082.0,Área 02
-27.4256561777007,-51.1901235343372,3083.0,Área 02
-27.4257013176854,-51.1901236116545,3084.0,Área 02
-27.4257464576699,-51.1901236889719,3085.0,Área 02
-27.425791597654,-51.1901237662895,3086.0,Área 02
-27.4258367376379,-51.1901238436073,3087.0,Área 02
-27.4258818776214,-51.1901239209253,3088.0,Área 02
-27.4259270176047,-51.1901239982435,3089.0,Área 02
-27.4259721575877,-51.1901240755618,3090.0,Área 02
-27.4260172975704,-51.1901241528803,3091.0,Área 02
-27.4260624375528,-51.190124230199,3092.0,Área 02
-27.4261075775349,-51.1901243075179,3093.0,Área 02
-27.4261527175167,-51.190124384837,3094.0,Área 02
-27.4261978574982,-51.1901244621562,3095.0,Área 02
-27.4262429974794,-51.1901245394757,3096.0,Área 02
-27.4262881374604,-51.1901246167953,3097.0,Área 02
-27.426333277441,-51.1901246941151,3098.0,Área 02
-27.4263784174213,-51.190124771435,3099.0,Área 02
-27.4264235574014,-51.1901248487552,3100.0,Área 02
-27.4265358230632,-51.1900238658313,3101.0,Área 02
-27.4264906830836,-51.1900237885518,3102.0,Área 02
-27.4264455431037,-51.1900237112725,3103.0,Área 02
-27.4264004031236,-51.1900236339934,3104.0,Área 02
-27.4263552631431,-51.1900235567145,3105.0,Área 02
-27.4263101231623,-51.1900234794358,3106.0,Área 02
-27.4262649831813,-51.1900234021573,3107.0,Área 02
-27.4262198431999,-51.1900233248789,3108.0,Área 02
-27.4261747032183,-51.1900232476007,3109.0,Área 02
-27.4261295632363,-51.1900231703227,3110.0,Área 02
-27.4260844232541,-51.1900230930449,3111.0,Área 02
-27.4260392832716,-51.1900230157672,3112.0,Área 02
-27.4259941432888,-51.1900229384898,3113.0,Área 02
-27.4259490033057,-51.1900228612125,3114.0,Área 02
-27.4259038633223,-51.1900227839354,3115.0,Área 02
-27.4258587233386,-51.1900227066584,3116.0,Área 02
-27.4258135833546,-51.1900226293817,3117.0,Área 02
-27.4257684433703,-51.1900225521051,3118.0,Área 02
-27.4257233033858,-51.1900224748287,3119.0,Área 02
-27.4256781634009,-51.1900223975525,3120.0,Área 02
-27.4256330234158,-51.1900223202765,3121.0,Área 02
-27.4255878834303,-51.1900222430007,3122.0,Área 02
-27.4255427434446,-51.190022165725,3123.0,Área 02
-27.4254976034586,-51.1900220884495,3124.0,Área 02
-27.4254524634722,-51.1900220111742,3125.0,Área 02
-27.4254073234856,-51.1900219338991,3126.0,Área 02
-27.4253621834987,-51.1900218566241,3127.0,Área 02
-27.4253170435115,-51.1900217793494,3128.0,Área 02
-27.425271903524,-51.1900217020748,3129.0,Área 02
-27.4252267635362,-51.1900216248004,3130.0,Área 02
-27.4251816235481,-51.1900215475262,3131.0,Área 02
-27.4251364835598,-51.1900214702521,3132.0,Área 02
-27.4250913435711,-51.1900213929783,3133.0,Área 02
-27.4250462035822,-51.1900213157046,3134.0,Área 02
-27.4250010635929,-51.1900212384311,3135.0,Área 02
-27.4249559236034,-51.1900211611578,3136.0,Área 02
-27.4249107836135,-51.1900210838846,3137.0,Área 02
-27.4248656436234,-51.1900210066116,3138.0,Área 02
-27.424820503633,-51.1900209293389,3139.0,Área 02
-27.4247753636423,-51.1900208520663,3140.0,Área 02
-27.4247302236513,-51.1900207747938,3141.0,Área 02
-27.42468508366,-51.1900206975216,3142.0,Área 02
-27.4246399436684,-51.1900206202495,3143.0,Área 02
-27.4245948036765,-51.1900205429777,3144.0,Área 02
-27.4245496636843,-51.1900204657059,3145.0,Área 02
-27.4245045236919,-51.1900203884344,3146.0,Área 02
-27.4244593836991,-51.1900203111631,3147.0,Área 02
-27.424414243706,-51.1900202338919,3148.0,Área 02
-27.4243691037127,-51.1900201566209,3149.0,Área 02
-27.4243239637191,-51.1900200793501,3150.0,Área 02
-27.4243022538271,-51.1899188689984,3151.0,Área 02
-27.4243473938211,-51.189918946228,3152.0,Área 02
-27.4243925338149,-51.1899190234577,3153.0,Área 02
-27.4244376738083,-51.1899191006877,3154.0,Área 02
-27.4244828138015,-51.1899191779178,3155.0,Área 02
-27.4245279537944,-51.1899192551481,3156.0,Área 02
-27.424573093787,-51.1899193323785,3157.0,Área 02
-27.4246182337793,-51.1899194096092,3158.0,Área 02
-27.4246633737712,-51.18991948684,3159.0,Área 02
-27.424708513763,-51.189919564071,3160.0,Área 02
-27.4247536537544,-51.1899196413022,3161.0,Área 02
-27.4247987937455,-51.1899197185336,3162.0,Área 02
