Latitud,Longitud,P(ppm),K(ppm),N(ppm),S(ppm),pH,Compactacion(MPa)
-27.4246382835306,-51.1912346993208,20.7,214.0,33.2,19.6,5.53,2.28
-27.4245931435419,-51.1912346215552,26.8,183.9,40.1,22.9,5.77,2.11
-27.4245480035529,-51.1912345437898,28.4,226.1,45.2,19.9,5.8,2.33
-27.4245028635636,-51.1912344660246,24.2,181.7,39.6,24.7,5.76,2.54
-27.4244811545559,-51.1911332552777,27.4,224.4,40.4,22.1,5.85,2.37
-27.4245262945456,-51.1911333330017,25.5,188.3,48.9,22.4,5.74,2.11
-27.424571434535,-51.1911334107258,22.5,232.2,44.8,22.8,5.94,2.37
-27.4246165745241,-51.1911334884502,25.5,210.3,44.0,20.8,6.04,2.25
-27.4246617145129,-51.1911335661747,29.0,215.0,35.5,17.5,5.78,2.23
-27.4247068545015,-51.1911336438994,24.3,206.6,38.4,22.1,5.92,2.06
-27.4247519944897,-51.1911337216243,29.1,210.1,42.4,19.2,5.88,2.02
-27.4247971344776,-51.1911337993494,16.6,210.1,41.6,20.5,5.94,2.14
-27.4248422744653,-51.1911338770747,26.9,222.6,43.3,19.2,5.68,2.23
-27.4248874144526,-51.1911339548001,24.7,207.3,48.9,20.6,6.02,2.14
-27.4249325544397,-51.1911340325257,23.6,237.9,41.8,20.5,6.07,2.24
-27.4249776944264,-51.1911341102515,24.8,194.0,44.3,20.9,5.84,2.43
-27.4250228344129,-51.1911341879775,18.5,226.0,25.8,22.2,5.9,2.1
-27.4250679743991,-51.1911342657037,23.9,220.2,39.2,20.6,5.71,1.99
-27.425113114385,-51.19113434343,25.6,233.6,44.7,22.1,6.0,2.22
-27.4251582543706,-51.1911344211565,29.0,211.5,38.8,23.5,5.78,2.24
-27.4252033943559,-51.1911344988832,23.0,215.7,37.1,22.0,5.92,2.41
-27.4252485343409,-51.1911345766101,22.1,215.6,52.7,25.0,5.66,2.28
-27.4252936743256,-51.1911346543372,23.1,185.0,45.4,21.4,5.76,2.46
-27.42533881431,-51.1911347320644,27.3,217.3,39.1,19.4,5.74,2.12
-27.4253839542941,-51.1911348097919,25.6,274.9,47.5,25.5,5.68,1.82
-27.4254962206942,-51.1910338288332,23.0,241.7,39.8,19.5,5.59,1.86
-27.4254510807106,-51.1910337511465,26.2,194.0,35.1,18.9,5.72,2.33
-27.4254059407266,-51.1910336734599,24.9,173.7,39.2,16.8,5.88,2.15
-27.4253608007424,-51.1910335957735,27.5,210.8,38.1,22.1,5.65,1.97
-27.4253156607578,-51.1910335180874,22.5,231.5,38.8,11.2,5.83,2.15
-27.425270520773,-51.1910334404013,23.7,209.2,36.5,18.8,5.82,2.31
-27.4252253807878,-51.1910333627155,23.5,247.8,41.9,25.6,5.81,1.95
-27.4251802408024,-51.1910332850299,20.3,194.5,45.5,20.1,5.83,2.04
-27.4251351008167,-51.1910332073444,25.6,214.7,41.1,21.0,5.87,2.4
-27.4250899608307,-51.1910331296591,25.5,208.1,40.9,21.7,5.7,2.37
-27.4250448208444,-51.191033051974,24.7,225.0,44.2,21.1,5.86,2.23
-27.4249996808578,-51.1910329742891,24.0,226.4,40.8,21.0,5.96,2.24
-27.4249545408709,-51.1910328966043,20.5,234.3,45.0,20.6,6.0,2.05
-27.4249094008837,-51.1910328189197,23.5,208.1,41.2,21.0,5.79,1.83
-27.4248642608962,-51.1910327412354,23.7,235.8,46.9,22.2,5.71,2.43
-27.4248191209085,-51.1910326635512,22.4,217.7,41.6,15.8,6.03,2.36
-27.4247739809204,-51.1910325858671,24.3,238.0,37.9,24.6,5.9,2.16
-27.4247288409321,-51.1910325081833,26.0,240.9,46.6,24.2,5.79,2.19
-27.4246837009434,-51.1910324304996,30.5,211.4,49.8,25.4,5.95,1.94
-27.4246385609545,-51.1910323528162,25.3,197.6,38.3,23.0,6.0,2.12
-27.4245934209653,-51.1910322751329,25.6,215.2,45.9,18.5,5.93,1.82
-27.4245482809757,-51.1910321974497,24.6,231.1,36.8,21.8,5.79,2.6
-27.4245031409859,-51.1910321197668,19.1,181.2,32.8,22.1,6.03,2.37
-27.4244814318311,-51.1909309090583,24.8,201.5,46.3,17.6,6.02,2.13
-27.4245265718213,-51.1909309867,25.0,225.1,44.7,22.1,5.85,2.39
-27.4245717118112,-51.1909310643419,32.3,159.8,43.4,20.6,5.72,1.92
-27.4246168518009,-51.1909311419839,24.3,191.0,42.7,23.8,5.8,2.14
-27.4246619917902,-51.1909312196262,25.8,199.5,46.9,22.2,5.99,2.44
-27.4247071317793,-51.1909312972686,24.8,210.1,38.8,19.2,5.97,1.91
-27.424752271768,-51.1909313749112,21.4,205.5,49.9,21.2,5.78,2.06
-27.4247974117565,-51.190931452554,28.4,205.9,45.9,21.6,5.72,2.12
-27.4248425517447,-51.190931530197,27.2,185.4,36.4,23.6,5.81,2.6
-27.4248876917326,-51.1909316078401,27.3,247.5,37.6,23.7,5.92,2.0
-27.4249328317201,-51.1909316854835,22.2,200.1,37.6,19.1,5.8,1.84
-27.4249779717074,-51.190931763127,29.2,174.2,45.4,24.1,5.86,2.08
-27.4250231116944,-51.1909318407707,20.8,235.1,44.3,27.2,5.8,2.38
-27.4250682516812,-51.1909319184146,26.8,197.0,39.4,21.3,5.8,2.39
-27.4251133916676,-51.1909319960586,31.6,188.3,42.6,15.5,5.99,2.39
-27.4251585316537,-51.1909320737029,22.0,226.2,47.4,18.2,5.84,1.95
-27.4252036716395,-51.1909321513473,23.3,202.3,46.7,22.0,5.77,2.11
-27.4252488116251,-51.1909322289919,25.3,216.2,43.0,24.6,5.9,2.03
-27.4252939516103,-51.1909323066367,23.5,200.2,46.1,22.2,5.92,2.19
-27.4253390915953,-51.1909323842816,20.4,203.7,50.9,22.3,5.75,1.96
-27.4253842315799,-51.1909324619268,25.3,193.2,45.7,22.0,5.95,2.1
-27.4254293715643,-51.1909325395721,21.9,188.8,35.3,18.2,5.99,2.16
-27.4254745115484,-51.1909326172176,26.5,282.6,42.8,22.3,5.95,2.24
-27.4255196515322,-51.1909326948633,22.3,196.7,45.1,18.8,5.72,2.14
-27.4255647915157,-51.1909327725092,29.8,184.1,48.4,25.7,5.73,2.07
-27.4256099314989,-51.1909328501552,22.8,236.0,40.3,20.6,5.79,1.91
-27.4256770577684,-51.1908317911819,24.2,218.8,47.8,23.3,5.98,2.09
-27.4256319177854,-51.1908317135767,27.6,213.9,41.2,19.8,5.91,2.47
-27.425586777802,-51.1908316359717,21.5,203.9,39.2,21.8,5.83,2.04
-27.4255416378184,-51.1908315583669,25.9,205.6,36.6,23.7,5.88,2.27
-27.4254964978345,-51.1908314807623,29.1,207.9,38.3,24.8,5.77,2.08
-27.4254513578503,-51.1908314031578,20.4,236.7,43.6,19.1,5.98,1.9
-27.4254062178658,-51.1908313255535,25.8,209.0,42.7,21.6,5.87,2.08
-27.425361077881,-51.1908312479494,26.0,237.0,40.4,22.8,5.87,2.1
-27.425315937896,-51.1908311703455,27.6,213.1,42.9,19.8,5.88,1.76
-27.4252707979106,-51.1908310927418,21.5,210.1,46.9,25.3,5.95,1.76
-27.4252256579249,-51.1908310151383,21.3,193.9,53.5,19.6,6.0,2.21
-27.425180517939,-51.1908309375349,26.8,257.3,42.1,21.6,5.9,2.12
-27.4251353779527,-51.1908308599317,26.2,214.8,51.4,21.2,5.89,2.01
-27.4250902379662,-51.1908307823287,26.0,214.5,43.2,24.7,5.94,1.71
-27.4250450979793,-51.1908307047259,26.3,251.8,39.6,25.9,5.85,2.24
-27.4249999579922,-51.1908306271232,23.3,223.1,50.3,17.8,5.93,2.09
-27.4249548180048,-51.1908305495208,26.0,225.4,39.6,22.6,5.99,2.39
-27.4249096780171,-51.1908304719185,26.2,216.1,42.3,20.1,5.92,2.1
-27.4248645380291,-51.1908303943164,23.2,199.5,41.0,27.3,6.13,2.16
-27.4248193980408,-51.1908303167145,30.9,239.4,57.6,23.2,5.74,1.99
-27.4247742580522,-51.1908302391127,26.8,186.8,39.9,20.6,5.91,2.24
-27.4247291180633,-51.1908301615112,21.8,195.7,38.5,21.4,5.95,1.73
-27.4246839780741,-51.1908300839098,27.3,199.8,50.3,25.4,5.98,2.03
-27.4246388380847,-51.1908300063086,22.5,220.4,41.0,23.7,5.75,2.64
-27.4245936980949,-51.1908299287076,27.8,215.1,36.1,17.9,6.01,2.49
-27.4245485581048,-51.1908298511068,28.9,178.3,48.0,22.1,5.98,2.39
-27.4245034181145,-51.1908297735061,23.0,262.0,38.1,18.0,5.82,2.01
-27.4244582781239,-51.1908296959057,28.3,230.9,41.4,22.2,5.9,2.67
-27.4244365688215,-51.1907284852767,26.7,206.0,46.9,20.7,5.87,2.09
-27.4244817088126,-51.1907285628359,27.9,224.5,44.7,21.9,5.69,2.6
-27.4245268488033,-51.1907286403954,31.1,224.9,39.5,24.7,5.94,2.39
-27.4245719887938,-51.190728717955,24.7,209.4,42.4,20.3,5.88,2.42
-27.4246171287839,-51.1907287955148,23.2,224.0,38.9,24.6,5.98,2.1
-27.4246622687738,-51.1907288730747,22.8,224.3,49.1,20.3,5.81,2.31
-27.4247074087634,-51.1907289506349,23.1,238.1,44.9,21.6,5.94,1.96
-27.4247525487527,-51.1907290281952,25.3,217.7,33.0,24.6,5.93,2.06
-27.4247976887417,-51.1907291057557,26.5,222.9,31.3,21.6,5.99,2.34
-27.4248428287304,-51.1907291833164,26.4,212.3,46.2,23.7,5.87,1.77
-27.4248879687188,-51.1907292608773,28.0,207.9,43.8,19.9,5.93,2.04
-27.4249331087069,-51.1907293384383,25.6,201.3,47.6,14.1,5.79,2.01
-27.4249782486948,-51.1907294159995,29.9,200.7,36.8,23.9,5.97,2.39
-27.4250233886823,-51.190729493561,24.8,207.5,43.1,22.3,5.82,2.03
-27.4250685286695,-51.1907295711226,33.7,212.2,46.1,17.1,5.87,2.01
-27.4251136686565,-51.1907296486843,27.5,237.1,37.5,24.9,5.93,2.17
-27.4251588086431,-51.1907297262463,23.0,209.5,38.4,22.0,5.96,2.09
-27.4252039486295,-51.1907298038084,22.4,210.5,41.4,21.2,5.93,2.08
-27.4252490886156,-51.1907298813707,27.1,211.4,54.0,21.9,5.68,2.13
-27.4252942286014,-51.1907299589332,25.0,216.4,41.0,23.5,5.96,2.42
-27.4253393685868,-51.1907300364959,27.8,251.4,46.9,19.8,5.77,2.21
-27.425384508572,-51.1907301140588,27.1,209.9,48.3,18.7,5.88,1.99
-27.4254296485569,-51.1907301916218,25.5,228.8,41.7,19.0,5.77,2.2
-27.4254747885415,-51.190730269185,23.1,224.6,44.5,24.5,6.0,2.12
-27.4255199285259,-51.1907303467484,21.2,219.0,33.6,15.4,5.91,2.24
-27.4255650685099,-51.190730424312,24.4,198.6,53.2,22.7,5.88,2.06
-27.4256102084936,-51.1907305018758,28.3,228.4,44.0,18.5,5.86,2.34
-27.4256553484771,-51.1907305794397,26.4,179.5,42.8,24.4,5.91,2.42
-27.4257004884602,-51.1907306570038,22.0,197.6,36.7,19.6,5.81,2.31
-27.4257456284431,-51.1907307345681,26.3,207.3,40.4,18.0,5.83,2.36
-27.4257907684256,-51.1907308121326,26.9,213.7,55.9,13.6,5.85,2.24
-27.4259030345305,-51.190629830396,23.1,220.0,42.7,24.6,5.85,2.19
-27.4258578945484,-51.1906297528722,26.2,246.2,40.6,16.3,5.94,1.97
-27.425812754566,-51.1906296753486,26.0,231.1,40.9,22.9,5.95,1.83
-27.4257676145833,-51.1906295978252,22.4,221.9,29.1,22.0,6.02,2.45
-27.4257224746004,-51.1906295203019,26.9,211.9,43.4,17.2,6.02,2.28
-27.4256773346171,-51.1906294427789,27.5,212.2,45.6,26.1,5.97,2.13
-27.4256321946335,-51.190629365256,29.1,196.1,39.2,15.3,5.78,2.0
-27.4255870546497,-51.1906292877333,29.0,176.7,45.1,26.1,5.98,2.36
-27.4255419146655,-51.1906292102107,21.7,193.4,45.1,22.0,5.91,1.94
-27.4254967746811,-51.1906291326884,23.1,242.4,26.5,21.4,5.97,2.27
-27.4254516346964,-51.1906290551662,27.4,204.9,45.0,19.6,5.88,2.23
-27.4254064947113,-51.1906289776443,27.4,208.7,46.4,18.8,5.94,2.23
-27.425361354726,-51.1906289001225,27.4,239.7,39.1,16.6,5.84,2.2
-27.4253162147404,-51.1906288226008,37.5,166.5,47.6,22.0,5.96,2.52
-27.4252710747545,-51.1906287450794,27.6,207.7,38.0,20.7,5.84,2.36
-27.4252259347683,-51.1906286675581,29.3,197.6,44.7,23.4,5.89,2.27
-27.4251807947818,-51.190628590037,28.8,225.5,44.7,22.8,5.77,2.18
-27.425135654795,-51.1906285125161,27.9,230.8,48.9,24.8,5.68,2.12
-27.425090514808,-51.1906284349954,25.0,231.2,46.8,22.6,5.85,2.09
-27.4250453748206,-51.1906283574749,28.3,250.0,42.6,24.7,5.8,1.68
-27.4250002348329,-51.1906282799545,23.7,231.0,57.3,23.7,6.04,1.83
-27.424955094845,-51.1906282024344,25.3,225.0,51.2,24.7,5.95,2.28
-27.4249099548567,-51.1906281249144,24.6,268.7,39.2,18.3,5.84,2.05
-27.4248648148682,-51.1906280473945,26.3,177.6,42.7,23.0,5.7,2.21
-27.4248196748794,-51.1906279698749,33.0,264.3,43.3,16.6,5.91,2.26
-27.4247745348903,-51.1906278923555,20.4,255.2,36.6,22.3,5.84,1.83
-27.4247293949008,-51.1906278148362,28.1,217.4,39.5,21.5,5.86,2.4
-27.4246842549111,-51.1906277373171,21.2,206.3,47.4,19.8,5.88,2.36
-27.4246391149211,-51.1906276597982,24.7,207.4,44.5,20.7,5.89,2.23
-27.4245939749308,-51.1906275822795,29.4,214.9,38.1,18.7,5.69,2.37
-27.4245488349403,-51.1906275047609,26.3,244.7,43.3,25.1,5.77,2.12
-27.4245036949494,-51.1906274272425,22.9,171.5,38.9,22.3,5.79,2.1
-27.4244585549582,-51.1906273497243,24.0,261.1,41.4,27.2,5.87,2.24
-27.4244134149667,-51.1906272722063,28.2,221.0,58.5,22.9,5.77,1.76
-27.4243917055169,-51.190526061657,23.9,244.6,45.4,22.4,5.95,2.11
-27.4244368455088,-51.1905261391338,26.8,196.5,48.2,18.8,5.79,2.43
-27.4244819855003,-51.1905262166107,26.3,235.7,49.2,20.6,5.77,2.01
-27.4245271254916,-51.1905262940879,24.2,229.0,45.3,17.1,5.91,2.28
-27.4245722654826,-51.1905263715652,32.6,232.7,45.2,22.1,5.91,2.0
-27.4246174054733,-51.1905264490427,28.1,207.6,47.5,23.6,6.03,1.97
-27.4246625454637,-51.1905265265204,20.1,213.9,44.7,22.8,5.97,2.37
-27.4247076854538,-51.1905266039982,26.8,196.9,45.6,20.8,5.81,2.01
-27.4247528254437,-51.1905266814763,24.2,237.0,43.8,16.7,5.97,2.31
-27.4247979654332,-51.1905267589545,28.8,248.6,41.9,21.0,6.14,2.27
-27.4248431054224,-51.1905268364329,23.9,227.5,36.0,22.8,5.7,2.61
-27.4248882454114,-51.1905269139115,25.9,168.4,39.7,25.0,5.86,1.91
-27.4249333854,-51.1905269913903,27.8,249.2,42.7,22.7,5.73,1.85
-27.4249785253884,-51.1905270688692,28.9,224.5,43.3,20.0,6.04,2.0
-27.4250236653764,-51.1905271463483,22.7,169.1,50.5,19.5,5.91,2.31
-27.4250688053642,-51.1905272238277,25.3,188.2,45.7,24.2,6.05,2.02
-27.4251139453517,-51.1905273013071,24.9,201.3,46.2,23.9,5.89,1.96
-27.4251590853389,-51.1905273787868,24.4,222.4,37.1,21.0,5.97,2.09
-27.4252042253258,-51.1905274562667,31.6,202.1,43.5,24.1,5.83,2.38
-27.4252493653124,-51.1905275337467,27.6,204.8,39.6,19.3,5.8,1.86
-27.4252945052987,-51.1905276112269,22.6,241.0,53.3,21.3,5.91,1.76
-27.4253396452847,-51.1905276887073,29.1,246.5,39.9,19.9,5.93,2.06
-27.4253847852704,-51.1905277661879,32.7,241.8,46.7,19.6,5.91,2.25
-27.4254299252559,-51.1905278436686,29.5,190.2,58.2,24.2,6.01,2.59
-27.425475065241,-51.1905279211496,21.8,241.9,46.9,21.9,5.79,2.21
-27.4255202052258,-51.1905279986307,25.0,213.5,28.5,26.2,6.12,2.13
-27.4255653452104,-51.190528076112,30.2,262.4,49.9,23.1,5.87,2.05
-27.4256104851947,-51.1905281535934,24.3,228.4,44.2,23.6,6.17,2.36
-27.4256556251786,-51.1905282310751,27.8,247.7,37.0,19.3,5.98,2.44
-27.4257007651623,-51.1905283085569,28.8,234.5,45.3,24.4,6.05,2.04
-27.4257459051457,-51.190528386039,23.7,232.1,48.0,23.9,5.99,2.06
-27.4257910451288,-51.1905284635212,26.3,216.2,38.3,26.6,5.94,2.1
-27.4258361851116,-51.1905285410035,16.8,247.8,47.0,25.4,5.85,2.26
-27.4258813250941,-51.1905286184861,23.4,242.4,46.6,22.6,5.86,1.85
-27.4259264650763,-51.1905286959688,25.8,217.2,51.4,24.0,5.87,2.07
-27.4259716050582,-51.1905287734518,22.8,215.1,44.9,23.9,5.97,2.39
-27.4260167450399,-51.1905288509349,31.4,209.7,47.1,26.1,5.85,2.21
-27.4261290109969,-51.1904278687889,22.3,240.4,37.0,25.8,5.85,1.99
-27.4260838710157,-51.1904277913465,25.2,228.9,46.9,17.4,5.89,2.26
-27.4260387310343,-51.1904277139043,27.0,230.0,46.5,26.1,5.76,2.23
-27.4259935910525,-51.1904276364622,30.9,217.1,43.2,19.7,5.83,1.93
-27.4259484510705,-51.1904275590204,22.3,253.5,47.6,20.8,5.86,1.9
-27.4259033110882,-51.1904274815787,30.1,194.7,50.1,16.4,5.96,2.08
-27.4258581711055,-51.1904274041372,26.6,240.2,41.9,27.8,6.06,2.38
-27.4258130311226,-51.1904273266959,23.7,244.3,43.1,23.9,5.89,1.93
-27.4257678911394,-51.1904272492547,28.0,218.4,56.2,20.3,5.77,1.86
-27.4257227511559,-51.1904271718138,27.2,195.8,36.2,24.6,6.05,2.01
-27.4256776111721,-51.190427094373,24.8,232.5,50.9,23.8,6.09,2.06
-27.425632471188,-51.1904270169324,26.9,248.9,57.4,23.2,5.9,2.03
-27.4255873312036,-51.190426939492,25.5,260.5,37.3,20.1,5.97,1.85
-27.4255421912189,-51.1904268620517,27.0,238.3,52.8,23.8,6.02,1.9
-27.4254970512339,-51.1904267846117,28.7,212.9,49.1,20.1,5.94,2.28
-27.4254519112487,-51.1904267071718,31.5,239.1,50.1,23.7,6.01,2.34
-27.4254067712631,-51.1904266297321,23.0,235.4,46.3,20.8,5.8,1.83
-27.4253616312773,-51.1904265522926,33.1,231.9,42.0,20.9,5.92,1.85
-27.4253164912911,-51.1904264748532,20.9,207.8,40.8,26.7,5.98,2.22
-27.4252713513047,-51.1904263974141,26.3,237.6,43.7,19.3,5.86,2.27
-27.425226211318,-51.1904263199751,28.5,235.1,50.9,22.6,6.06,2.12
-27.425181071331,-51.1904262425363,27.6,274.3,53.0,25.9,5.96,2.22
-27.4251359313436,-51.1904261650977,24.9,227.6,53.6,24.4,5.83,1.85
-27.425090791356,-51.1904260876593,26.2,259.8,43.8,25.6,6.06,2.09
-27.4250456513681,-51.190426010221,25.3,253.8,40.2,20.6,6.03,2.33
-27.42500051138,-51.1904259327829,25.0,227.1,45.1,21.2,5.94,2.06
-27.4249553713915,-51.190425855345,29.4,250.9,54.7,22.1,5.89,2.12
-27.4249102314027,-51.1904257779073,27.9,210.6,45.2,24.6,6.13,1.99
-27.4248650914136,-51.1904257004698,24.8,222.5,42.9,23.6,6.05,2.02
-27.4248199514243,-51.1904256230324,29.6,215.7,53.2,28.6,6.12,1.88
-27.4247748114346,-51.1904255455953,27.8,223.3,38.8,21.9,6.06,1.89
-27.4247296714447,-51.1904254681583,29.3,186.5,42.6,24.6,5.91,1.97
-27.4246845314544,-51.1904253907215,28.8,262.6,39.4,23.4,6.08,1.96
-27.4246393914639,-51.1904253132849,24.4,220.6,52.6,22.4,5.97,2.14
-27.4245942514731,-51.1904252358484,25.2,242.6,48.1,25.7,5.89,1.98
-27.424549111482,-51.1904251584121,29.2,231.8,50.3,24.7,5.98,2.17
-27.4245039714906,-51.1904250809761,28.8,221.5,40.5,23.5,5.79,2.25
-27.4244588314989,-51.1904250035401,26.9,201.5,52.1,25.0,6.01,2.03
-27.4244136915069,-51.1904249261044,27.3,208.9,30.9,24.3,6.14,2.06
-27.4243685515146,-51.1904248486689,30.8,222.5,39.0,17.9,5.97,2.14
-27.4243919819099,-51.1903237155935,25.2,217.8,46.3,21.9,5.98,2.04
-27.4244371219023,-51.190323792988,28.6,207.9,50.0,24.2,5.88,1.88
-27.4244822618944,-51.1903238703826,26.4,213.7,42.1,20.7,5.83,2.09
-27.4245274018862,-51.1903239477775,26.4,236.8,35.6,21.4,5.72,2.22
-27.4245725418778,-51.1903240251725,30.3,245.2,41.0,21.6,5.8,2.27
-27.424617681869,-51.1903241025678,29.5,204.4,39.9,20.9,5.91,1.72
-27.4246628218599,-51.1903241799632,29.5,210.2,59.5,24.1,5.83,2.11
-27.4247079618506,-51.1903242573587,31.0,232.2,49.0,22.1,6.15,2.01
-27.4247531018409,-51.1903243347545,27.1,224.7,40.5,22.0,5.96,1.7
-27.424798241831,-51.1903244121504,29.1,220.7,37.7,20.5,5.91,2.04
-27.4248433818207,-51.1903244895466,26.2,246.6,41.5,16.6,5.91,2.19
-27.4248885218102,-51.1903245669429,28.1,231.9,46.4,20.4,5.96,1.97
-27.4249336617994,-51.1903246443393,26.7,195.8,43.2,24.7,6.04,2.08
-27.4249788017883,-51.190324721736,27.4,212.4,56.4,27.7,5.82,1.98
-27.4250239417769,-51.1903247991328,28.9,195.2,42.0,26.6,5.72,2.1
-27.4250690817652,-51.1903248765299,24.7,224.9,48.8,24.3,5.89,1.93
-27.4251142217532,-51.1903249539271,33.4,202.0,42.2,25.9,5.9,2.18
-27.4251593617409,-51.1903250313245,24.1,193.5,49.9,30.7,5.96,2.28
-27.4252045017284,-51.190325108722,23.5,187.7,43.6,24.2,5.89,2.01
-27.4252496417155,-51.1903251861198,30.7,268.5,51.0,20.9,5.98,2.17
-27.4252947817023,-51.1903252635177,29.6,201.6,47.9,24.0,5.88,2.18
-27.4253399216889,-51.1903253409158,29.1,222.7,54.9,29.6,5.84,2.2
-27.4253850616751,-51.1903254183141,29.1,230.3,46.9,20.8,5.95,1.81
-27.4254302016611,-51.1903254957125,27.2,231.5,48.6,24.0,5.87,2.46
-27.4254753416468,-51.1903255731112,24.5,241.7,39.5,21.4,6.01,1.89
